antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['is_sorted_True'],['vs_str_No-violate'],0.2727272727272727,0.6909090909090909,0.2,0.7333333333333334,1.0614035087719298,0.011570247933884309,1.1590909090909094,0.07954545454545461
['more_positive_or_negative_e'],['vs_str_No-violate'],0.34545454545454546,0.6909090909090909,0.2545454545454545,0.7368421052631579,1.0664819944598338,0.0158677685950413,1.1745454545454543,0.09523809523809511
['more_positive_or_negative_p'],['vs_str_No-violate'],0.2909090909090909,0.6909090909090909,0.21818181818181817,0.75,1.0855263157894737,0.017190082644628096,1.2363636363636363,0.11111111111111109
['weigth_of_list_we'],['vs_str_No-violate'],0.14545454545454545,0.6909090909090909,0.12727272727272726,0.875,1.2664473684210527,0.026776859504132222,2.4727272727272727,0.2462006079027355
['weigth_of_list_wp'],['vs_str_No-violate'],0.32727272727272727,0.6909090909090909,0.32727272727272727,1.0,1.4473684210526316,0.10115702479338842,inf,0.45945945945945943
"['more_positive_or_negative_e', 'has_zeros_True']",['vs_str_No-violate'],0.14545454545454545,0.6909090909090909,0.10909090909090909,0.75,1.0855263157894737,0.008595041322314048,1.2363636363636363,0.09219858156028368
"['weigth_of_list_wp', 'has_zeros_True']",['vs_str_No-violate'],0.14545454545454545,0.6909090909090909,0.14545454545454545,1.0,1.4473684210526316,0.04495867768595041,inf,0.3617021276595745
"['more_positive_or_negative_p', 'has_duplicates_True']",['vs_str_No-violate'],0.14545454545454545,0.6909090909090909,0.10909090909090909,0.75,1.0855263157894737,0.008595041322314048,1.2363636363636363,0.09219858156028368
"['has_duplicates_True', 'weigth_of_list_wp']",['vs_str_No-violate'],0.12727272727272726,0.6909090909090909,0.12727272727272726,1.0,1.4473684210526316,0.03933884297520661,inf,0.35416666666666663
"['weigth_of_list_wp', 'is_sorted_True']",['vs_str_No-violate'],0.10909090909090909,0.6909090909090909,0.10909090909090909,1.0,1.4473684210526316,0.03371900826446281,inf,0.34693877551020413
"['more_positive_or_negative_e', 'weigth_of_list_wp']",['vs_str_No-violate'],0.10909090909090909,0.6909090909090909,0.10909090909090909,1.0,1.4473684210526316,0.03371900826446281,inf,0.34693877551020413
"['more_positive_or_negative_p', 'weigth_of_list_wp']",['vs_str_No-violate'],0.12727272727272726,0.6909090909090909,0.12727272727272726,1.0,1.4473684210526316,0.03933884297520661,inf,0.35416666666666663
