antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'vs_str_error'}),frozenset({'weigth_of_list_wp'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),frozenset({'has_zeros_True'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_wp', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'has_zeros_True'}),"frozenset({'weigth_of_list_wp', 'vs_str_error'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_zeros_True', 'vs_str_error'})",frozenset({'weigth_of_list_wp'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'has_zeros_True'}),frozenset({'vs_str_error'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wp'}),frozenset({'vs_str_error'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'vs_str_error'})",frozenset({'has_zeros_True'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wp'}),"frozenset({'has_zeros_True', 'vs_str_error'})",0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'has_zeros_True'})",frozenset({'vs_str_error'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),"frozenset({'has_zeros_True', 'vs_str_error'})",0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),frozenset({'vs_str_error'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'vs_str_error'})",frozenset({'has_zeros_True'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_zeros_True'})",frozenset({'vs_str_error'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros_True', 'has_duplicates_True', 'vs_str_error'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
frozenset({'has_duplicates_True'}),"frozenset({'weigth_of_list_wn', 'has_zeros_True', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'has_duplicates_True', 'vs_str_error'})","frozenset({'weigth_of_list_wn', 'has_zeros_True'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'has_zeros_True', 'has_duplicates_True'})","frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'has_zeros_True', 'has_duplicates_True', 'vs_str_error'})",frozenset({'weigth_of_list_wn'}),0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
frozenset({'more_positive_or_negative_e'}),"frozenset({'weigth_of_list_wp', 'vs_str_error'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_duplicates_True', 'vs_str_error'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_zeros_True', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'has_zeros_True'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_e'}),"frozenset({'has_zeros_True', 'vs_str_error'})",0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates_True'}),"frozenset({'weigth_of_list_wp', 'vs_str_error'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_duplicates_True', 'vs_str_error'})",frozenset({'has_zeros_True'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates_True'}),"frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'has_duplicates_True', 'vs_str_error'})",frozenset({'weigth_of_list_wn'}),0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
frozenset({'has_duplicates_True'}),"frozenset({'has_zeros_True', 'vs_str_error'})",0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros_True', 'has_duplicates_True'})",frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates_True'}),"frozenset({'weigth_of_list_wp', 'has_zeros_True', 'vs_str_error'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
frozenset({'has_duplicates_True'}),frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_e'}),frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})","frozenset({'weigth_of_list_wp', 'has_zeros_True'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_zeros_True', 'more_positive_or_negative_e'})","frozenset({'weigth_of_list_wp', 'vs_str_error'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
