antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'more_positive_or_negative_e'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'more_positive_or_negative_e', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})",frozenset({'has_zeros_True'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'more_positive_or_negative_e', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})",frozenset({'is_sorted_True'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})",frozenset({'more_positive_or_negative_e'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'more_positive_or_negative_e'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'more_positive_or_negative_e', 'has_zeros_True', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})","frozenset({'has_zeros_True', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'has_zeros_True', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'has_zeros_True', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})","frozenset({'more_positive_or_negative_e', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'has_zeros_True', 'more_positive_or_negative_e'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'more_positive_or_negative_e', 'has_zeros_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'weigth_of_list_we', 'vs_str_error'})","frozenset({'more_positive_or_negative_e', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'vs_str_error', 'more_positive_or_negative_e', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_we', 'more_positive_or_negative_e', 'is_sorted_True'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
