antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['weigth_of_list_wn'],['vs_str_Violate'],0.48148148148148145,0.2222222222222222,0.2037037037037037,0.4230769230769231,1.903846153846154,0.09670781893004116,1.3481481481481483,0.9155844155844155
['more_positive_or_negative_n'],['vs_str_Violate'],0.37037037037037035,0.2222222222222222,0.12962962962962962,0.35,1.575,0.04732510288065844,1.1965811965811965,0.5798319327731094
"['weigth_of_list_wn', 'more_positive_or_negative_n']",['vs_str_Violate'],0.24074074074074073,0.2222222222222222,0.12962962962962962,0.5384615384615384,2.423076923076923,0.07613168724279835,1.6851851851851851,0.7735191637630662
